,gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,0,2.030869245,20230328142052470,None,28,75,32,29,30,23,100,41
1,0,2.040853739,20230328142052480,None,28,75,32,29,30,23,100,41
2,0,2.050852537,20230328142052490,None,28,75,30,28,28,23,134,46
3,0,2.060850382,20230328142052500,None,30,73,27,28,27,22,121,42
4,0,2.070928812,20230328142052510,None,30,73,27,28,27,22,121,42
5,0,2.080959081,20230328142052520,None,30,73,27,28,27,22,121,42
6,0,2.090959549,20230328142052530,None,30,65,29,25,26,20,108,39
7,0,2.100970983,20230328142052540,None,31,59,32,26,26,23,107,40
8,0,2.110988617,20230328142052550,None,31,59,32,26,26,23,107,40
9,0,2.120961189,20230328142052560,None,31,53,33,27,25,23,123,43
10,0,2.130961179,20230328142052570,None,31,53,33,27,25,23,123,43
11,0,2.141017437,20230328142052580,None,29,52,33,27,26,25,82,37
12,0,2.151028394,20230328142052590,None,29,52,33,27,26,25,82,37
13,0,2.161020517,20230328142052600,None,28,49,33,28,26,26,96,38
14,0,2.171356201,20230328142052610,None,28,49,33,28,26,26,96,38
15,0,2.181043863,20230328142052620,None,28,54,32,27,27,28,95,39
16,0,2.191314459,20230328142052630,None,28,54,32,27,27,28,95,39
17,0,2.201013326,20230328142052640,None,27,59,34,28,31,27,128,42
18,0,2.211020708,20230328142052650,None,27,59,34,28,31,27,128,42
19,0,2.220997333,20230328142052660,None,28,63,34,27,30,27,111,39
20,0,2.231283426,20230328142052670,None,28,63,34,27,30,27,111,39
21,0,2.241030216,20230328142052680,None,28,63,34,27,30,27,111,39
22,0,2.251027107,20230328142052690,None,28,64,40,27,32,27,113,41
23,0,2.261020422,20230328142052700,None,28,68,40,27,31,25,101,40
24,0,2.270997047,20230328142052710,None,28,68,40,27,31,25,101,40
25,0,2.281273365,20230328142052720,None,28,68,40,27,31,25,101,40
26,0,2.291052341,20230328142052730,None,26,66,40,29,31,24,145,41
27,0,2.301058769,20230328142052740,None,28,65,40,28,27,25,117,35
28,0,2.311091423,20230328142052750,None,28,65,40,28,27,25,117,35
29,0,2.321042061,20230328142052760,None,27,73,41,30,27,25,119,33
30,0,2.331008672,20230328142052770,None,27,73,41,30,27,25,119,33
31,0,2.340984106,20230328142052780,None,26,77,36,31,28,26,138,39
32,0,2.350984096,20230328142052790,None,26,77,36,31,28,26,138,39
33,0,2.360968351,20230328142052800,None,26,77,36,31,28,26,138,39
34,0,2.370969772,20230328142052810,None,24,79,39,31,29,27,139,42
35,0,2.381030798,20230328142052820,None,26,78,41,32,27,25,99,41
36,0,2.391022682,20230328142052830,None,26,78,41,32,27,25,99,41
37,0,2.400996446,20230328142052840,None,22,78,39,33,28,26,129,45
38,0,2.411003589,20230328142052850,None,22,78,39,33,28,26,129,45
39,0,2.421041965,20230328142052860,None,22,78,39,33,28,26,129,45
40,0,2.431008339,20230328142052870,None,28,66,42,31,29,26,129,46
41,0,2.441338777,20230328142052880,None,28,60,41,31,24,26,106,37
42,0,2.450997591,20230328142052890,None,28,60,41,31,24,26,106,37
43,0,2.461106777,20230328142052900,None,30,59,38,31,25,27,108,42
44,0,2.470998764,20230328142052910,None,30,59,38,31,25,27,108,42
45,0,2.481079817,20230328142052920,None,31,55,38,29,26,28,103,40
46,0,2.490936041,20230328142052930,None,31,55,38,29,26,28,103,40
47,0,2.501183748,20230328142052940,None,33,52,39,30,27,26,86,44
48,0,2.510990381,20230328142052950,None,33,52,39,30,27,26,86,44
49,0,2.52101922,20230328142052960,None,29,55,36,31,29,24,91,44
50,0,2.5310101510000003,20230328142052970,None,29,55,36,31,29,24,91,44
51,0,2.541024685,20230328142052980,None,29,55,36,31,29,24,91,44
52,0,2.5509560110000002,20230328142052990,None,31,59,36,31,31,23,96,45
53,0,2.560949802,20230328142053000,None,29,56,36,30,29,23,99,43
54,0,2.570903539,20230328142053010,None,29,56,36,30,29,23,99,43
55,0,2.5809473990000003,20230328142053020,None,27,55,34,31,31,21,97,42
56,0,2.590907097,20230328142053030,None,27,55,34,31,31,21,97,42
57,0,2.600909233,20230328142053040,None,28,55,32,29,28,22,93,39
58,0,2.610894918,20230328142053050,None,28,55,32,29,28,22,93,39
59,0,2.620905161,20230328142053060,None,29,59,35,28,27,25,89,39
60,0,2.630918979,20230328142053070,None,29,59,35,28,27,25,89,39
